//描述
ShortSword	来自传说东方赛里斯国度的初阶兵器，由青铜铸造，其铜色散发着神秘的意味。有关“赛里斯”的记载，最早在服役过波斯王庭的希腊医师塞特西亚斯的文献中被提及。
Scimitar	形制如同新月一般，属于希腊弯刀的一种。在古希腊中晚期被广泛运用于色雷斯至伊利里亚地区，被看作是残暴的象征。
BronzeSword	西徐亚短剑是一种两面有刃、剑身宽阔的短剑。原本是公元前十世纪左右西徐亚人或波斯人使用的武器，后来通过到地中海沿岸殖民的希腊人之手流传开来。希腊史学家色诺芬在《远征记》中提到过这件物品。
SillerSword	纯白银打造的短剑，两侧有刃型双翼，神圣的象征。一些贵族喜欢将其视作工艺品，摆放在案头。不过用它来战斗，也是极为惹眼的。
Glaive	剑身宽大的兵器，劈砍造成的伤害让人畏惧。因为它的头部和侧刃都是平直的铲子，一口气凿掉一根爱奥尼克石柱完全没有问题。
SacrificeShortSword	在祭祀典礼中常使用，既是兵器，又是礼仪器具。在祭仪举行过后，作为对献祭者的回报，众神会给武器以加护。因此往往这样的短剑，蕴涵着不可思议的神力。
CrystalSword	利用充满魔力的水晶石打造的宝剑，不仅仅是外表华丽而已。剑身轻盈，有着良好的穿透力。用它来攻击，宛如萨洛尼克湾的海浪，无法抵挡。
Kryss	刃身扭曲的蛇形短剑，被其刺中的人会遭受剧烈的伤痛。
CurseSword	被黑夜女神之子塔那托斯诅咒的宝剑，它能够激发使用者的战斗潜能，但是也会为主人带来无穷的灾祸。
FossiliaDentisMastodi	将毒龙的牙齿改造而成的神兵利器。勇士卡德摩斯按照女神雅典娜旨意消灭巨龙之后，散落的龙牙种于土地中化身为纷争的兵士，他们的手中就持有这种短剑。
MantisSword	一把刀锋奇异的短剑，因为头部很像昆虫螳螂的前爪，所以叫螳螂之刃。拿着这把剑，你可以更加容易的捕获你看中的猎物。
MantaSword	这柄剑因为海洋中的蝠鲼而得名。精致小巧，持有它，可以使你在战斗中游刃有余。
Spear	普通的长矛，常用于刺击。据说斯巴达人从小开始学习使用，广泛的运用于渔猎和战争中。
Pike	除刺击外也可以挥舞攻击。长矛与长枪是希腊步兵最擅长的长柄武器，主柄由坚固的山茱萸木制成，此事被记载于古罗马军史学家阿里安的《亚历山大远征记》一书里。
Halberd	侧面具有特殊刀头结构的长柄武器。在攻击时，还可作一定程度的防御。
WarFork	技术高超的渔夫们经常使用的捕猎工具，即渔叉，用于战斗就叫战叉。
ConglomerationPike	希腊密集方阵中战士常用的长枪。亚历山大大帝的马其盾步军标准配备。密集阵的创造者，按照色诺芬《希腊史》的记载是伊巴密浓达将军。
MatriarchalSpear	它的名称意味着敏捷、准确。亚玛逊女战士们的常用兵器。
GhostSpear	源自埃及以南，依附着阿努比斯力量的长矛，轻视它的敌人会遭殃。
Trident	头部分成三叉的长戟，传说海神尼普顿与波塞冬都是使用这种类型的武器。
AmazonSpear	北非柏柏尔战士们使用的长枪，以高效的作战性能闻名于世。
StygianPike	野蛮人使用的长枪。其上面的髑髅形装饰就是它最明显的标志。
CobraLance	蛇是毒性生猛的爬行动物。这柄武器的头部，铸满尖利的牙刺，也涂满蛇毒，请小心使用。武器头部的眼镜蛇首是它特殊的标志，也是特殊才能和威严的象征。
Dragon-TongueLance	因为头部如同龙的舌头而得名。在各国的古代传说中，都有不少勇士持着战矛去挑战巨龙。在希腊神话中英雄卡德摩斯用标枪和长矛消灭过一条毒龙。
ShortWand	短小的法杖，普通的锡矿铸造，附着有些许魔法力。
Scepter	为了体现使用者的权势而制作，所以功能相对稍弱。
PolishedWand	杖体前部辉光闪耀，那是蕴涵在其中的太阳之光所起的作用。石英石的主要成分是二氧化硅。
EagleWand	鹰是孤高者的象征，为诸多学者称颂。所以将它雕刻到木制法杖上，增强气势。
GrimWand	头部是髑髅标志，散发着令人恐惧的气氛。拿着这柄武器，似乎自己的手都会颤抖。
YewWand	用稀有的紫杉木制作的手杖，力量叫人称奇。
SummonersWand	具有召唤自然力量的神奇手杖。居住在萨洛尼克诸岛中某位旅行家的杰作，据说他是一个犹太人，所以特征标志是神秘的六芒形。
WizardsWand	著名的巫师都有一柄属于自己的法杖，上面可能会刻有主人的名字。
DimensionalWand	虽然名为虚空，但实际上正相反，它充满了不可思议的魔力，头部的宝石悬浮在半空。
SeraphRod	奥林匹斯山下某位名字开头字母为Z的大祭司曾经用过的杵子，不知道什么原因流落到了南方。普通法师可能因为会承受不了其巨大魔力而无法使用。
SocondiumWand	这柄短杖头部镶嵌了奇妙的宝石。宝石来自希腊深山，它除了光彩夺目，富有奇特的气息之外，更可以给持有者带来祥和的能力，甚至有不少医师用它来医疗受伤者。
HexaphyllousWand	一把拥有六片叶状棱角的魔力短杖。据说它凝聚了地、水、火、风、光、暗等各种自然力量，因此对使用者的智慧与技巧有很高要求。
LongStaff	木制的双手长柄法杖，极其普通。
GnarledStaff	用沿爱琴海岸森林的棕榈木制作的长柄杖，拥有些许法力，杖子上机关重重，十分奇特。
WalkingStick	通过近海贸易，用来自东非肯尼亚的竹子制作而成，拥有健康的自然之力。
BattleStaff	在肉搏战也能发挥较大威力的双手杖，头部的宝石具有攻防一体的能量。
WarStaff	用火一般的赤杨树的木头制作而成，经常在近身法术战斗中使用。
Shillelah	橡木是凝聚了自然之力的植物，因此橡木制作的法杖很受法师们欢迎。越年老的橡树，其材质越加坚硬。
Stalagmite	能够让使用者获得大地之母源源不断传来力量的法杖。杖首的灵石，是女神盖亚所赐。
EldersStaff	采用古埃及费昂斯工艺以及波斯的玻璃工艺制作。它是显示使用者智慧与祥和的法杖，故持有它的人容易受到大家的尊敬。
ArchonStaff	远古时代流传下来的法杖，被很多杰出的法师使用过，头部的木质部分已经石化。
ElementStaff	用以操纵世间自然力量的长柄杖，材质是希腊神圣的月桂树，受阿波罗庇护，所以成为了炙手可热的高级道具。
WingedStaff	这是被用于祭祀祭典的神圣之杖。因为头部配有如同赫尔墨斯帽子两侧的双翼，而被喜好自由与便捷的巫师所亲睐。
Tinderbar	神圣的烈火是光明的象征，这件兵器在近东爱好和平的神秘教团中流行。拿上这把杖，给人们带来光明的希望吧。
LongBar	普通的长刀，使用双手才能操起。因为没有开锋，通常被击中的人是被砸成重伤。
