//道具名称
ShortSword	遥远之东方青铜剑
Scimitar	色雷斯钩刀
BronzeSword	西徐亚短剑
SillerSword	银翼匕首
Glaive	宽刃凿
SacrificeShortSword	祭祀之短剑
CrystalSword	湛蓝水晶之浪尖
Kryss	蛇形刃
CurseSword	诅咒之刃
FossiliaDentisMastodi	龙牙
MantisSword	螳螂臂刀
MantaSword	游弋之曼塔短剑
Spear	矛
Pike	普及型长枪
Halberd	长戟
WarFork	战叉
ConglomerationPike	密集阵长枪
MatriarchalSpear	女族长之矛
GhostSpear	努比亚长矛
Trident	三叉戟
AmazonSpear	柏柏尔长枪
StygianPike	野蛮战士之枪
CobraLance	北非眼镜蛇之牙
Dragon-TongueLance	火龙舌矛
ShortWand	短法杖
Scepter	权杖
PolishedWand	石英石法杖
EagleWand	翔鹰手杖
GrimWand	恐惧手杖
YewWand	紫杉手杖
SummonersWand	召唤手杖
WizardsWand	名巫师手杖
DimensionalWand	无尽之虚空手杖
SeraphRod	天神杵
SocondiumWand	圣药石之杖
HexaphyllousWand	六叶杖
LongStaff	长杖
GnarledStaff	糙木杖
WalkingStick	生机之青竹杖
BattleStaff	极光法杖
WarStaff	赤杨法杖
Shillelah	橡木之年轴
Stalagmite	地灵石法杖
EldersStaff	紫琉璃法杖
ArchonStaff	亘古法杖
ElementStaff	桂木杖
WingedStaff	神圣祭仪之灵翼杖
Tinderbar	飞火杖
LongBar	钝头长刀
Two-HandSword	伊比利亚双手剑
HeavySword	重剑
BroadSword	马萨利亚大砍刀
BattleSword	阔身战剑
CrescentSword	西风之月牙
GiantSword	赫梯铁铲
Cleaver	切肉刀
PraiseSword	祝福之刃
ChampionSword	冠军之剑
AceGlaive	截冰剑
SphyrnaGlaive	双髻鲨斯芬亚纳
HandAxe	便捷之手斧
Axe	步兵斧头
Mace	毛虫之钉头槌
CupreousMace	赤铜锤
Silver-EdgedAxe	蝴蝶之秘银斧
HammerPick	蜻蜓之铜榔头
WarMace	重战锤
DoubleAxe	飞来斧
Tomahawk	黑曜斧
GloriousAxe	荣耀之单刃斧
Bear-PewAxe	青熊之劈
DromedaryHammer	单峰驼之重踢
Hammer	铁锤
Two-HandedAxe	熟铜斧
Maul	力士之大锤
BerserkerAxe	狂暴之斧
SmithyHammer	高级铁匠锤
GiantAxe	混铁斧
ExecutionersAxe	执法者之斧
Decapitator	剃须斧
LargeBattleAxe	斧刃之刺豚
TitansHammer	米坦尼兽头锤
SquareHammer	四角锤
